approved,hgnc_symbol,drugs_gained,moas_gained,confidence,sample_tokens,sample_drugs,sample_moas,top_broad_cancers,notes
,IDO1,11,7,0.98,ido; ido1; ido1 (indoleamine 2; ido1 heme-binding; prodrug of indoleamine 2,1-methyl-d-tryptophan; epacadostat; gdc-0919; gsk5460025; hti-1090,3dioxygenase1_ido1indoleamine2_inhibitor; 3dioxygenase_prodrugofindoleamine2_inhibitor; ido1_immuneresponseagainstpdl1_agonist; ido1_inhibitor; ido1_tdo_inhibitor,Brain and Other Nervous System; Gynecological Cancers; Solid tumors; Skin Cancers; Hematological Malignancies,
,F2,11,5,0.8,ii; iia,aclacinomycin; acridine carboxamide; batracylin; becatecarin; bemiparin,dna_ii_topoisomerase1_inhibitor; factorxa_iia_inhibitor; hdaci_ii_iv_inhibitor; ii_iii_panrafi_inhibitor; ii_topoisomerase1_inhibitor,Hematological Malignancies; Brain and Other Nervous System; Lung Cancers; Breast Cancer; Colorectal Cancer,
,HRH1,11,4,1.0,h1; h1 inverse; h1-receptor; histamine h1-receptor,cetirizine; cyproheptadine; desloratadine; dexchlorpheniramine; diphenhydramine,h1_antagonist; h1inverse_agonist; h1receptor_antagonist; histamineh1receptor_antagonist,Hematological Malignancies; Breast Cancer; Lung Cancers; Gynecological Cancers; Head and Neck Cancers,
,TNFRSF4,11,3,1.0,ox40,abbv-368; bms-986178; cs01; fs120; hx111,cd137_ox40_agonist; ox40_agonist; ox40_targeted,Hematological Malignancies; Prostate Cancer; Solid tumors; Lung Cancers; Breast Cancer,
,WEE1,11,3,1.0,wee1,acr-2316; adavosertib; apr-1051; azenosertib; debio 0123,myt1_wee1_inhibitor; pkmyt1_wee1_inhibitor; wee1_inhibitor,Gynecological Cancers; Esophageal Cancer; Hematological Malignancies; Brain and Other Nervous System; Pancreatic Cancer,
,MDM4,11,2,1.0,mdmx,alrn-6924; amg 232; bi 907828; cgm097; hdm201,mdm2_inhibitor; mdm2p53interaction_mdmx_inhibitor,Hematological Malignancies; Soft Tissue Cancers (including Heart); Brain and Other Nervous System; Solid tumors; Bone and Joint Cancers,
,DRD2,10,9,1.0,d2; d2 dopamine; dopamine d2; drd2,alizapride; buspirone; cabergoline; dordaviprone; droperidol,3dopamine_d2_inhibitor; 5ht3_d2_antagonist; 5ht3antagonist5ht4_d2_agonist; alphaadrenergic_d2_antagonist; d2_antagonist,Gynecological Cancers; Brain and Other Nervous System; Colorectal Cancer; Breast Cancer; Hematological Malignancies,
,CLDN6,10,5,1.0,cldn6,arc101; asp1650; at03-65; bgb-b455; brn01,cd137_cd3_cldn6_activator; cd3bispecific_cldn6_antibody; cd3tcellengagingbispecific_cldn6_antibody; cldn6_antibody; cldn6_targeted,Gynecological Cancers; Solid tumors; Pediatric Cancers; Bone and Joint Cancers; Brain and Other Nervous System,
,CYP19A1,10,4,1.0,aromatase; steroidal aromatase,"aminoglutethimide; anastrozole; atamestane; dalpiciclib, exemestane, gosserine; exemestane",aromatase_cdk4_cdk6_her1_her2_her4_inhibitor; aromatase_cdk4_cdk6_inhibitor; aromatase_inhibitor; steroidalaromatase_inhibitor,Breast Cancer; Gynecological Cancers; Specific Syndromes; Hematological Malignancies; Lung Cancers,
,CLEC12A,10,3,1.0,clec12a expressing cells; cll-1,actinium ac 225-dota-daratumumab; adclec.syn1; ard103; astatine at 211 anti-cd38 monoclonal antibody okt10-b10; autologous anti-cll-1-car t lymphocytes bg1805,adgre2_clec12aexpressingcells_targeted; cd38_targeted; cll1_targeted,Hematological Malignancies,
,PTGS1,10,3,1.0,cox-1; cyclooxygenase 1,diflunisal; flurbiprofen; ibuprofen; indomethacin; ketoprofen,2_cyclooxygenase1_inhibitor; cox1_cox2_inhibitor; cox1_cox2enzymes_inhibitor,Hematological Malignancies; Prostate Cancer; Breast Cancer; Colorectal Cancer; Gynecological Cancers,
,HMGCR,10,2,1.0,hmg-coa reductase,atorvastatin; fluvastatin; fluvustat; lovastatin; pitavastatin,antioxidant_hmgcoareductase_inhibitor; hmgcoareductase_inhibitor,Breast Cancer; Hematological Malignancies; Skin Cancers; Gynecological Cancers; Prostate Cancer,
,CYP17A1,9,7,0.93,cyp17; cyp17a1; cyp17a1 (17,"abiraterone; asp5541; dalpiciclib; abiraterone acetate; prednisone; fuzuloparib, abiraterone acetate; jnj-212082",20lyase_cyp17a117_inhibitor; androgen_cyp17a1_inhibitor; cdk4_cdk6_cyp17a1_inflammation_inhibitor; cyp11b2_cyp17a1_inhibitor; cyp17_inhibitor,Prostate Cancer; Breast Cancer; Head and Neck Cancers; Solid tumors,
,PDE5A,9,5,1.0,pde5; pde5a; phosphodiesterase-5,dutasteride/tadalafil; exisulind; icariin; pd5k3; sildenafil,cholestenone5alphareductase_pde5_inhibitor; pde2_pde5_inhibitor; pde5_inhibitor; pde5a_inhibitor; phosphodiesterase5_inhibitor,Prostate Cancer; Head and Neck Cancers; Brain and Other Nervous System; Lung Cancers; Bladder Cancer,
,TNF,9,5,0.97,tnf; tnf-alpha; tumor necrosis factor,adbelimumab; adelbelimumab; adelumab; certolizumab pegol; etanercept,tnf_inhibitor; tnf_targeted; tnfalpha_activator; tnfalpha_inhibitor; tumornecrosisfactor_inhibitor,Hematological Malignancies; Skin Cancers; Lung Cancers; Head and Neck Cancers; Prostate Cancer,
,CDK7,9,4,1.0,cdk7; cdk7 gene,btx-a51; eoc237; hrs-6208; samuraciclib; seliciclib,cdk2_cdk7_cdk9_inhibitor; cdk7_cdk9_ck1_inhibitor; cdk7_inhibitor; cdk7gene_inhibitor,Breast Cancer; Solid tumors; Hematological Malignancies; Lung Cancers; Pancreatic Cancer,
,DHFR,9,4,1.0,dhfr; dihydrofolate reductase; inhibits dihydrofolate reductase,aminopterin; methotrexate or tecovirimat; methotrexate sodium; natriumfolinate; piritrexim,dhfr_folicacidantagonistsdhps_inhibitor; dhfr_inhibitor; inhibitsdhfr_viralenvelopevp37_inhibitor; reduced_folate_bypasses_dhfr_inhibition,Hematological Malignancies; Bladder Cancer; Kidney (Renal) and Urethral Cancers; Bone and Joint Cancers; Esophageal Cancer,
,EPHA2,9,4,1.0,epha2; kills epha2-expressing cells,ad.p53-dc; anoc-002; anoc-003; anti-epha2 monoclonal antibody ds-8895a; epha2-targeted car-dcs,epha2_blocker; killsepha2expressingcells_targeted; kras_targeted; tp53_activator,Pancreatic Cancer; Gynecological Cancers; Adrenal Cancer and Neuroendocrine Tumors; Small Instestine Cancers; All Solid Tumors,
,PARP2,9,4,1.0,parp2,2x-121; amxi-5001; azd2461; fluzoparib; mefuparib,2_parp1_parp2_tankyrase1_inhibitor; microtubulepolymerization_parp1_parp2_inhibitor; parp1_parp2_inhibitor; parp1_parp2_parp3_inhibitor,Breast Cancer; Gynecological Cancers; Solid tumors; Prostate Cancer; Brain and Other Nervous System,
,CD25,9,3,1.0,cd25,camidanlumab tesirine; egl-001; lmb-2; pf-08046032; rft5-smpt-dga,cd25_antibody; cd25_ctla4_antagonist; cd25_targeted,Hematological Malignancies; Skin Cancers; Head and Neck Cancers; Lung Cancers; Ampullary Adenocarcinoma,
,PLK1,9,3,0.95,plk1; plk1 mitotic checkpoint,bal0891; bi 2536; bi 6727; gsk461364; mk-1496,plk1_inhibitor; plk1_modulator; plk1mitoticcheckpoint_ttk_inhibitor,Hematological Malignancies; Breast Cancer; Pancreatic Cancer; Lung Cancers; Colorectal Cancer,
,TACR1,9,3,1.0,nk-1; nk1; nk1r,aprepitant; bay3427080; fosaprepitant; fosnetupitant; gw679769,5ht3_nk1_antagonist; nk1_antagonist; nk1r_nk3r_antagonist,Hematological Malignancies; Solid Tumors; Gynecological Cancers; Breast Cancer; Pediatric Cancers,
,MAP4K1,9,2,1.0,hpk1,bb3008; bgb-26808; cfi-402411; fb849; grc 54276,hpk1_degrader; hpk1_inhibitor,Solid tumors; Skin Cancers; Kidney (Renal) and Urethral Cancers; Esophageal Cancer; Lung Cancers,
,CD33,8,7,1.0,binds to cd33; binds to cd33 antigen; car-nk cell therapy; cd33; cd33 bispecific; cd33 monoclonal,anti-cd33 monoclonal antibody; bi 836858; bl-m11d1; cd33; cd33 fpbmc,bindstocd33_targeted; bindstocd33antigen_targeted; carnkcelltherapycd33_flt3_targeted; cd123_cd33bispecific_inhibitor; cd33directedantibodydrugconjugate_topoisomerase1_inhibitor,Hematological Malignancies,
,BRD4,8,6,1.0,brd4; brd4 bromodomain; brd4 regulated induced proximity,azd5153; bms-986378; hld-0915; mt-4561; pelabresib,ar_brd4regulatedinducedproximity_targeted; betbrd2_brd3_brd4_brdt_inhibitor; brd4_degrader; brd4_hsp90_degrader; brd4_inhibitor,Hematological Malignancies; Solid tumors; Prostate Cancer; Brain and Other Nervous System; Bone and Joint Cancers,
,HDAC1,8,6,1.0,hdac1; i hdac (hdac 1,abt-301; chidaniline; domatinostat; mbf-ric; mgcd0103,2_3_ihdachdac1_inhibitor; hdac1_hdac10_hdac2_hdac3_inhibitor; hdac1_hdac11_hdac2_hdac3_inhibitor; hdac1_hdac2_hdac3_inhibitor; hdac1_hdac2_inhibitor,Hematological Malignancies; Soft Tissue Cancers (including Heart); Colorectal Cancer; Solid tumors; Bone and Joint Cancers,
,VTCN1,8,6,1.0,b7-h4,abl103; azd8205; bg-c9074; gen1047; gsk5733584,41bbbispecific_b7h4_antibody; b7h4_antibody; b7h4_inhibitor; b7h4_targeted; b7h4_top1_inhibitor,Gynecological Cancers; Solid tumors; Breast Cancer; Liver and Bile Duct Cancers; Lung Cancers,
,ABCB1,8,5,1.0,p-glycoprotein; p-gp; p-gp efflux pump; p-gp p-glycoprotein,dofequidar; encequidar; hm30181; hm30181ak; laniquidar,mdrassociated_pgp_inhibitor; pglycoprotein_inhibitor; pgp_inhibitor; pgpeffluxpump_inhibitor; pgppglycoprotein_inhibitor,Breast Cancer; Hematological Malignancies; Solid tumors; Gynecological Cancers; Pediatric Cancers,
,CD37,8,5,1.0,cd37; cd37 murine monoclonal,ags67e; betalutin; car-37 t cells; debio 1562; ds3790a,cd37_antibody; cd37_dna_targeted; cd37_microtubules_targeted; cd37_targeted; cd37murinemonoclonal_antibody,Hematological Malignancies,
,KLK3,8,4,1.0,psa,afalaza; etbx-071; l-377202; prostvac-f; psa vaccine,ctl_psa_activator; enosviaconformation_psa_modulator; psa_activator; psa_encoding_recombinant_vaccinia_vector,Prostate Cancer,
,DHODH,8,2,1.0,dhodh,aur108; emvododstat; farudodstat; jbz-001; jnj-74856665,dhodh_inhibitor; dhodh_vegf_inhibitor,Brain and Other Nervous System; Solid tumors; Bladder Cancer; Breast Cancer; Hematological Malignancies,
,FOLR1,7,7,1.0,destroys fr-alpha expressing tumor cells; folate alpha; folr1,cbp-1019; itil-306; multi-epitope folate receptor alpha-loaded dendritic cell vaccine; onx-0801; otl38,destroysfralphaexpressingtumorcells_targeted; folatealpha_binder; folatealpha_inhibitor; folatealpha_targeted; folr1_antagonist,Gynecological Cancers; Kidney (Renal) and Urethral Cancers; Bladder Cancer; Solid tumors; Hematological Malignancies,
,CCR2,7,6,1.0,ccr2; ccr2 chemokine; ccr2 for pet imaging,64cu-dota-eclii; [14c] bms-813160; ccr2; ccx872-b; pf-04136309,ccl2interaction_ccr2_blocker; ccr2_antagonist; ccr2_ccr5_antagonist; ccr2_targeted; ccr2chemokine_antagonist,Pancreatic Cancer; Soft Tissue Cancers (including Heart),
,WRN,7,6,1.0,covalent wrn helicase; werner syndrome helicase; wrn helicase; wrn helicase atpase; wrn helicase covalent,eik1005; gsk4418959; hro761; jmkx005425; moma-341,covalentwrnhelicase_inhibitor; dnaunwinding_wrnhelicaseatpase_inhibitor; wernersyndromehelicase_inhibitor; wrnhelicase_inhibitor; wrnhelicasecovalent_inhibitor,Solid tumors; Colorectal Cancer; Gynecological Cancers; Gastric (Stomach) Cancer; Esophageal Cancer,
,AURKB,7,5,1.0,aurora b,14c-labeled al8326; ak104 ；chiauranib; al8326; barasertib; chiauranib,aurorab_c_inhibitor; aurorab_ckit_csf1r_pdgfr_vegfr_inhibitor; aurorab_fgfr_vegfr_inhibitor; aurorab_fgfrs_vegfr_antagonist; aurorab_inhibitor,Lung Cancers; Solid tumors; Gynecological Cancers; Pancreatic Cancer; Soft Tissue Cancers (including Heart),
,F3,7,5,0.9,iii; tissue factor,adce-t02; exarafenib; hi-con1; morab-066; pci-27483,factorviia_tissuefactor_inhibitor; ii_iii_panrafi_inhibitor; tf_tissuefactor_antibody; tissuefactor_inhibitor; tissuefactor_targeted,Pancreatic Cancer; Gynecological Cancers; Colorectal Cancer; Lung Cancers; Bladder Cancer,
,KIF11,7,5,1.0,kif11 kinesin spindle; ksp; ksp kinesin spindle,aln-vsp02; filanesib; ispinesib; mk0731; sb-715992,cd123_ksp_inhibitor; kif11kinesinspindle_ksp_inhibitor; ksp_inhibitor; ksp_vegf_inhibitor; kspkinesinspindle_inhibitor,Hematological Malignancies; Brain and Other Nervous System; Skin Cancers; Colorectal Cancer; Head and Neck Cancers,
,PVRIG,7,5,1.0,cd112r; pvrig; pvrig bispecific; pvrig immune checkpoint,com701; nm1f; pm1009; remzistotug; shr-2002,cd112r_antagonist; cd112r_pvrig_inhibitor; cd112r_tigit_modulator; pvrigbispecific_tigit_antibody; pvrigimmunecheckpoint_inhibitor,Gynecological Cancers; Breast Cancer; Colorectal Cancer; Liver and Bile Duct Cancers; Lung Cancers,
,F10,7,2,1.0,factor xa,apixaban; bemiparin; darexaban; edoxaban; fondaparinux,factorxa_iia_inhibitor; factorxa_inhibitor,Hematological Malignancies; Gynecological Cancers; Liver and Bile Duct Cancers; Lung Cancers; Brain and Other Nervous System,
,METAP2,7,2,1.0,metap2; methionine aminopeptidase 2; methionine aminopeptidase-2,apl-1501; evexomostat; nitroxoline; sdx-7320; tnp-470,metap2_inhibitor; methionineaminopeptidase2_inhibitor,Breast Cancer; Solid tumors; Hematological Malignancies; Bladder Cancer; Skin Cancers,
,PARG,7,2,1.0,parg; parg glycohydrolase),dat-2645; etx-19477; forx-428; ide-161; ide161,parg_inhibitor; pargglycohydrolase_inhibitor,Gynecological Cancers; Solid tumors; Breast Cancer; Prostate Cancer; Gastrointestinal Stromal Tumors,
,SLC5A2,7,2,1.0,sglt2,canagliflozin; dapagliflozin; empagliflozin; licogliflozin; lx4211,sglt1_sglt2_inhibitor; sglt2_inhibitor,Breast Cancer; Specific Syndromes; Lung Cancers; Prostate Cancer; Pancreatic Cancer,
,TLR3,7,2,1.0,tlr3,bo-112; poly i: poly c; poly iclc; poly-iclc; poly-iclc (polyinosinic-polycytidylic acid stabilized with polylysine and carboxymethylcellulose),mda5_rigi_tlr3_agonist; tlr3_agonist,Breast Cancer; Skin Cancers; Soft Tissue Cancers (including Heart); Hematological Malignancies; Brain and Other Nervous System,
,ACE,7,1,1.0,ace,captopril; enalapril; fluzopril; lisinopril; perindopril,ace_inhibitor,Hematological Malignancies; Breast Cancer; Lung Cancers; Bladder Cancer; Brain and Other Nervous System,
,ADRB1,6,5,1.0,beta-1 adrenergic; beta1; β1 adrenergic,alintegimod; atenolol; darotamine; dobutamine; esmolol,1adrenergic_agonist; alphal_beta1_beta2_integrinalpha4_activator; beta1adrenergic_agonist; beta1adrenergic_antagonist; beta1adrenergic_blocker,Lung Cancers; Breast Cancer; Head and Neck Cancers; Kidney (Renal) and Urethral Cancers; Liver and Bile Duct Cancers,
,CDH6,6,5,0.95,cdh6; cdh6-directed antibody-drug conjugate; cdh6-directed antibody-drug conjugate; dna topoisomerase i; cdh6-directed antibody-drug conjugate; topoisomerase i,cusp06; hs-20124; qls5133; r-dxd; raludotatug deruxtecan,cdh6_targeted; cdh6_topoisomerase1_inhibitor; cdh6directedantibodydrugconjugate_dnatopoisomerase1_inhibitor; cdh6directedantibodydrugconjugatednatopoisomerase1_inhibitor; cdh6directedantibodydrugconjugatetopoisomerase1_inhibitor,Solid tumors; Gynecological Cancers; Lung Cancers; Gastrointestinal Stromal Tumors,
,POLQ,6,5,1.0,dna polymerase theta; polq; polymerase theta helicase; polθ; polθ polymerase domain,art4215; art6043; dat-1604; gsk4524101; moma-313,dnapolymerasetheta_inhibitor; pol_inhibitor; polpolymerasedomain_inhibitor; polq_inhibitor; polymerasethetahelicase_inhibitor,Solid tumors; Breast Cancer; Gynecological Cancers; Prostate Cancer; Ampullary Adenocarcinoma,
,PPARA,6,5,0.93,ppar alpha; ppar-alpha; pparα,chiglitazar; efatutazone; fenofibrate; fenofibric acid; tpst-1120,delta_gamma_pparalpha_agonist; ppar_activator; ppar_agonist; ppar_antagonist; pparalpha_agonist,Liver and Bile Duct Cancers; Hematological Malignancies; Thyroid Cancer; Gynecological Cancers; Brain and Other Nervous System,
,ENTPD1,6,4,1.0,cd39; cd39 atpase; cd39 ectonucleotidase; cd39 enzymatic inhibitory,ab598; bnt317 dl6; es002023; imp9064; perenostobart,cd39_inhibitor; cd39atpase_inhibitor; cd39ectonucleotidase_inhibitor; cd39enzymaticinhibitory_antibody,Solid tumors; Gynecological Cancers; Bladder Cancer; Breast Cancer; Gastric (Stomach) Cancer,
,HDAC2,6,4,1.0,hdac2,abt-301; chidaniline; mbf-ric; mgcd0103; mocetinostat,hdac1_hdac10_hdac2_hdac3_inhibitor; hdac1_hdac11_hdac2_hdac3_inhibitor; hdac1_hdac2_hdac3_inhibitor; hdac1_hdac2_inhibitor,Hematological Malignancies; Soft Tissue Cancers (including Heart); Colorectal Cancer; Bone and Joint Cancers; Brain and Other Nervous System,
,ADORA2B,6,3,0.93,a2b; a2br; adenosine a2b,etrumadenant; incb106385; pbf-1129; tt-4; tt-702,a2a_a2b_antagonist; a2ar_a2br_antagonist; adenosinea2b_antagonist,Lung Cancers; Prostate Cancer; Soft Tissue Cancers (including Heart); Colorectal Cancer; Skin Cancers,
,ANGPT2,6,3,1.0,ang-2; ang2; angiopoietin-2,anti-ang2 monoclonal antibody medi-3617; bi 836880 (anti-vegf/ang2 bispecific nanobody); faricimab; nesvacumab; pf-04856884,ang2_vegf_inhibitor; ang2_vegfa_inhibitor; angiopoietin2_inhibitor,Ocular Cancers; Solid tumors; Hematological Malignancies,
,BCL2L1,6,3,1.0,bcl-xl,apg-1252; bcl-xl_42-caf09b; lp-118; pelcitoclax; tgrx-814,bcl2_bclxl_inhibitor; bclxl_activator; bclxl_degrader,Hematological Malignancies; Gynecological Cancers; Bone and Joint Cancers; Brain and Other Nervous System; Solid tumors,
,CRBN,6,3,1.0,cereblon; cereblon e3 ligase,ac699; arv-471; bms-986506; cc-99282; mezigdomide,cereblon_modulator; cereblone3ligase_modulator; esr1_degrader,Hematological Malignancies; Breast Cancer; Lung Cancers; Prostate Cancer; Kidney (Renal) and Urethral Cancers,
,CSF2,6,3,0.95,gm-csf; granulocyte-macrophage colony-stimulating factor,gimsilumab; medi5395; melanoma gvax; oncos-102; recombinant fowlpox-gm-csf,gmcsf_activator; gmcsf_inhibitor; granulocytemacrophagecolonystimulatingfactor_agonist,Prostate Cancer; Skin Cancers; Colorectal Cancer; Gynecological Cancers; Appendix Cancer,
,CXCR2,6,3,1.0,cxcr2,azd5069; kand567; ladarixin; mgta-145; navarixin,cxcr1_cxcr2_inhibitor; cxcr2_agonist; cxcr2_antagonist,Hematological Malignancies; Gynecological Cancers; Lung Cancers; Breast Cancer; Solid tumors,
,DNMT1,6,3,1.0,dna methyltransferase 1; dnmt1,ef-009; guadecitabine; mg 98; ntx-301; rx-3117,dna_dnmt1_rnasynthesis_inhibitor; dnamethyltransferase1_inhibitor; dnmt1_inhibitor,Hematological Malignancies; Liver and Bile Duct Cancers; Gynecological Cancers; Pancreatic Cancer; Bladder Cancer,
,NFE2L2,6,3,1.0,nrf2,bardoxolone; bardoxolone methyl; oltipraz; pterostilbene; sulforadex,antioxidant_inflammatory_nrf2_activator; nrf2_activator; nrf2_degrader,Gynecological Cancers; Prostate Cancer; Lung Cancers; Solid tumors; Hematological Malignancies,
,PCSK9,6,3,0.99,kexin 9); pcsk9; pcsk9 (proprotein convertase subtilisin; pcsk9 convertase subtilisin,evolocumab; ongericimab; recaticimab; see individual drugs; tafolecimab,kexin9_pcsk9proproteinconvertasesubtilisin_inhibitor; kexin_pcsk9convertasesubtilisin_inhibitor; pcsk9_inhibitor,Lung Cancers; Colorectal Cancer; Brain and Other Nervous System; Kidney (Renal) and Urethral Cancers,
,TNFSF10,6,3,0.9,trail,abbv-621; apo2l; conatumumab; idec-201; scb-313,trail_agonist; trail_gene_transcription_inducer; trail_modulator,Colorectal Cancer; Lung Cancers; Breast Cancer; Gynecological Cancers; Adrenal Cancer and Neuroendocrine Tumors,
,CD5,6,2,1.0,cd5,anti-cd5 car nk cells; autologous cd5 car t-cells; car.5/il15-transduced cb-nk cells; cd5car; previous stem-cell transplantation donor-derived cd5 car t-cells,cd5_inhibitor; cd5_targeted,Hematological Malignancies,
,CFB,6,2,1.0,complement factor b; factor b,cms-d017; hrs-5965; hs-10542; lnp023; my008211a,complementfactorb_inhibitor; factorb_inhibitor,Bladder Cancer,
,TNFRSF18,6,2,0.9,gitr,anti-gitr monoclonal antibody mk-4166; bms-986156; gwn323 (vicentumab); incagn01876; medi1873,gitr_agonist; gitr_antibody,Hematological Malignancies; Liver and Bile Duct Cancers; Lung Cancers; Skin Cancers; Brain and Other Nervous System,
,KIF18A,6,1,1.0,kif18a,gensci122; gh2616 tablets; hs387; men2501; sovilnesib,kif18a_inhibitor,Gynecological Cancers; Solid tumors; Lung Cancers; Breast Cancer; Head and Neck Cancers,
,MCL1,6,1,1.0,mcl-1; mcl1,mcl-1 inhibitor azd5991; mik665; prt1419; qlc5508; s 64315,mcl1_inhibitor,Hematological Malignancies; Esophageal Cancer; Gynecological Cancers; Lung Cancers; Skin Cancers,
,CD44,5,5,0.97,cd44 monoclonal antibody; cd44v6; cd44v6 for radioimmunotherapy,99mtc - labelled hmab biwa 4; amc303; bivatuzumab mertansine; hmab biwa 4; ro5429083,cd44monoclonalantibody_inhibitor; cd44v6_antibody; cd44v6_inhibitor; cd44v6_tubulin_inhibitor; cd44v6forradioimmunotherapy_targeted,Head and Neck Cancers; Solid tumors; Lung Cancers; Breast Cancer,
,CDH3,5,5,1.0,cdh3; p-cadherin,amg 305; bc3195; ff-21101; p-cadherin inhibitor pca062; skb445,cdh3_inhibitor; cdh3_msln_targeted; cdh3_tubulin_inhibitor; pcadherin_inhibitor; pcadherin_targeted,Solid tumors; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,DLL4,5,5,1.0,dll4; dll4 bispecific; dll4 monoclonal,ctx-009; demcizumab; enoticumab; nov1501; omp-305b83,dll4_antibody; dll4_vegfasignaling_inhibitor; dll4_vegfbispecific_antibody; dll4bispecific_vegf_antibody; dll4monoclonal_antibody,Liver and Bile Duct Cancers; Colorectal Cancer; Solid tumors; Pancreatic Cancer; Lung Cancers,
,IL2RB,5,5,1.0,cd122; cd122-preferential il-2; il-2 beta; il-2rβ,anv419; bempegaldesleukin; il-2/anti-il-2 antibody conjugate slc-3010; ltc004; pegilodecakin,cd122_il12cytokineprodrug_agonist; cd122_il2_modulator; cd122preferentialil2_agonist; cytokine_il2r_agonist; gamma_il2beta_agonist,Skin Cancers; Solid tumors; Bladder Cancer; Soft Tissue Cancers (including Heart); Lung Cancers,
,MUC16,5,5,1.0,muc16; muc16-targeting adc,dmuc4064a; gb-5267; lbl-033; prgn-3005; ubamatamab,cd3_muc16_antibody; cd3bispecific_muc16_antibody; il18_muc16_targeted; microtubule_muc16targetingadc_disruptor; muc16_targeted,Gynecological Cancers; Pancreatic Cancer; Lung Cancers; Bone and Joint Cancers; Brain and Other Nervous System,
,TLR2,5,5,1.0,tlr2,cblb612; om-174; psk; tomaralimab; xs15,immunomodulator_tlr2_agonist; tlr1_tlr2_agonist; tlr2_agonist; tlr2_antagonist; tlr2_tlr4_agonist,Solid tumors; Breast Cancer; Hematological Malignancies; Brain and Other Nervous System,
,LILRB4,5,4,1.0,ilt4; lilrb4,chs-1000; lilrb4 star-t cells; mk-4830a; sg2918; yts104 cells,ilt4_antagonist; ilt4_inhibitor; lilrb4_inhibitor; lilrb4_targeted,Hematological Malignancies; Bone and Joint Cancers; Brain and Other Nervous System; Pediatric Cancers; Soft Tissue Cancers (including Heart),
,SMARCA2,5,4,1.0,brm atpase; smarca2; smarca2 atpase,azd4956; fhd-286; ly4050784; plx-61639; prt3789,brg1_brmatpase_inhibitor; smarca2_blocker; smarca2_degrader; smarca2atpase_inhibitor,Hematological Malignancies; Solid tumors; Lung Cancers,
,TRPV1,5,4,1.0,trpv1,ha35; hyaluronan fragment ha35; jnj-88998377; nm404; resiniferatoxin,trpa1_trpv1_modulator; trpa1channels_trpv1_antagonist; trpv1_agonist; trpv1_antagonist,Hematological Malignancies; Brain and Other Nervous System,
,BIRC5,5,3,1.0,survivin,ly2181308; ovm-200; sepantronium bromide; survaxm; survivin sur1m2 peptide vaccine,survivin_activator; survivin_inhibitor; survivin_targeted,Hematological Malignancies; Lung Cancers; Prostate Cancer; Brain and Other Nervous System; Gynecological Cancers,
,C5,5,3,1.0,c5; c5 complement; complement c5,crovalimab; danicopan; pozelimab; ravulizumab; zilucoplan,c5_inhibitor; c5complement_inhibitor; complementc5_inhibitor,,
,HDAC3,5,3,1.0,hdac3,abt-301; chidaniline; mgcd0103; mocetinostat; wj47156,hdac1_hdac10_hdac2_hdac3_inhibitor; hdac1_hdac11_hdac2_hdac3_inhibitor; hdac1_hdac2_hdac3_inhibitor,Hematological Malignancies; Soft Tissue Cancers (including Heart); Colorectal Cancer; Bone and Joint Cancers; Brain and Other Nervous System,
,IL7,5,3,1.0,il-7,adp-tilil7; bnt152; gc203 til; gx-i7; nt-i7,il7_activator; il7_agonist; il7_tumorinfiltratinglymphocytes_modulator,Solid tumors; Hematological Malignancies; Pancreatic Cancer; Breast Cancer; Lung Cancers,
,KAT6A,5,3,1.0,kat6a,bg-75202; hlx97; hrs-2189; prifetrastat; qls1304,b_kat6a_inhibitor; blysineacetyltransferase_kat6a_inhibitor; kat6a_kat6b_inhibitor,Breast Cancer; Solid tumors; Colorectal Cancer; Prostate Cancer; Ampullary Adenocarcinoma,
,KDM1A,5,3,1.0,kdm1a lysine demethylase; lsd1,bomedemstat; cc-90011; ro7051790; seclidemstat; um171,corest_lsd1_degrader; kdm1alysinedemethylase_lsd1_inhibitor; lsd1_inhibitor,Hematological Malignancies; Lung Cancers; Solid tumors; Prostate Cancer,
,DGKA,5,2,1.0,dgkα; diacylglycerol alpha,asp1570; bay2862789; bay2965501; gs-9911; incb177054,dgk_inhibitor; diacylglycerolalpha_inhibitor,Solid tumors,
,DPP4,5,2,1.0,dpp-4,alogliptin+pioglitazone; linagliptin; saxagliptin; sitagliptin; vildagliptin,dpp4_inhibitor; dpp4_ppar_agonist,Hematological Malignancies; Specific Syndromes; Breast Cancer; Brain and Other Nervous System; Liver and Bile Duct Cancers,
,EZH1,5,2,1.0,ezh1,cpi-0209; hh2853; hm97662; valemetostat; valemetostat tosylate,2histonemethyltransferase_ezh1_inhibitor; ezh1_ezh2_inhibitor,Hematological Malignancies; Prostate Cancer; Solid tumors; Lung Cancers; Gynecological Cancers,
,MAT2A,5,2,1.0,mat2a,bg-89894; dc50292a; ide397; ism3412; s095035,mat2a_inhibitor; mat2a_prmt5_inhibitor,Solid tumors,
,PTK7,5,2,1.0,ptk7,day301; hwk-007; kivu-107; ptk7-adc; tgrx-1942,ptk7_inhibitor; ptk7_targeted,Gynecological Cancers; Lung Cancers; Solid tumors; Breast Cancer; Hematological Malignancies,
